t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state,low,high,pose_shoulder_w,pose_shoulder_conf,pose_orientation,luma_mean,luma_center
0.0000,squat,face,0.048309,0.042876,0.827388,0.165468,0.356092,0.293058,0.164845,0.827388,0.048309,5,0.453728,0.325396,,0.783691,,rest,0,0,debug,0.006000,0.012000,0.263043,0.438477,5,0.276345,0.263769
0.0333,squat,face,0.048843,0.044666,0.878620,0.173255,0.360637,0.294674,0.165754,0.878620,0.048843,5,0.459989,0.325216,0.028750,0.821777,,rest,0,0,debug,0.006000,0.012000,0.268381,0.469971,5,0.299544,0.275782
0.0667,squat,face,0.045374,0.044878,0.915097,0.187343,0.369723,0.284015,0.159759,0.915097,0.045374,5,0.463706,0.317688,0.031483,0.774414,,rest,0,0,debug,0.006000,0.012000,0.268310,0.475098,5,0.333312,0.306405
0.1000,squat,face,0.042633,0.044205,0.904362,0.195704,0.376165,0.275304,0.154858,0.904362,0.042633,5,0.465878,0.317153,0.033295,0.770996,,rest,0,0,debug,0.006000,0.012000,0.254420,0.419922,5,0.386212,0.385925
0.1333,squat,face,0.039015,0.042648,0.895954,0.211104,0.383844,0.263364,0.148142,0.895954,0.039015,5,0.471597,0.321864,0.034631,0.752441,,rest,0,0,debug,0.006000,0.012000,0.248562,0.516602,5,0.452685,0.469783
0.1667,squat,face,0.034935,0.040334,0.908134,0.225116,0.392708,0.249213,0.140182,0.908134,0.034935,5,0.475539,0.326918,0.037718,0.786133,,rest,0,0,debug,0.006000,0.012000,0.263596,0.526367,5,0.483475,0.519378
0.2000,squat,face,0.030980,0.037528,0.876951,0.239475,0.400780,0.234683,0.132009,0.876951,0.030980,5,0.477379,0.324601,0.041029,0.770996,,rest,0,0,debug,0.006000,0.012000,0.270854,0.526855,5,0.497825,0.542809
0.2333,squat,face,0.028180,0.034724,0.898404,0.254249,0.406433,0.223826,0.125902,0.898404,0.028180,5,0.480290,0.326116,0.039038,0.841309,,rest,0,0,debug,0.006000,0.012000,0.278965,0.441406,5,0.505551,0.547902
0.2667,squat,face,0.025421,0.031933,0.892405,0.268357,0.413911,0.212585,0.119579,0.892405,0.025421,5,0.486602,0.327568,0.046205,0.830566,,rest,0,0,debug,0.006000,0.012000,0.272819,0.495605,5,0.507197,0.546426
0.3000,squat,face,0.023705,0.029464,0.903011,0.279550,0.416679,0.205285,0.115473,0.903011,0.023705,5,0.487413,0.331852,0.035464,0.801270,,rest,0,0,debug,0.006000,0.012000,0.260763,0.501953,5,0.509591,0.548276
0.3333,squat,face,0.022071,0.027246,0.914830,0.290600,0.422098,0.198085,0.111423,0.914830,0.022071,5,0.490292,0.336353,0.036208,0.829590,,rest,0,0,debug,0.006000,0.012000,0.246310,0.512695,5,0.511050,0.550578
0.3667,squat,face,0.020069,0.025093,0.877786,0.304418,0.426663,0.188885,0.106248,0.877786,0.020069,5,0.490825,0.338932,0.042937,0.793945,,rest,0,0,debug,0.006000,0.012000,0.241176,0.536133,5,0.510530,0.553771
0.4000,squat,face,0.018119,0.023001,0.873045,0.318778,0.428697,0.179477,0.100956,0.873045,0.018119,5,0.492693,0.340468,0.040361,0.863770,,rest,0,0,debug,0.006000,0.012000,0.231331,0.535156,5,0.509410,0.558039
0.4334,squat,face,0.016555,0.021067,0.856672,0.332605,0.432714,0.171553,0.096499,0.856672,0.016555,5,0.492915,0.343525,0.043088,0.826172,,rest,0,0,debug,0.006000,0.012000,0.225171,0.568359,5,0.508812,0.561705
0.4667,squat,face,0.014764,0.019176,0.887742,0.344942,0.433669,0.162008,0.091129,0.887742,0.014764,5,0.490898,0.344677,0.044638,0.829102,,rest,0,0,debug,0.006000,0.012000,0.216819,0.576660,5,0.508845,0.564790
0.5000,squat,face,0.013471,0.017465,0.897860,0.359824,0.434804,0.154755,0.087050,0.897860,0.013471,5,0.489187,0.345047,0.049987,0.801758,,rest,0,0,debug,0.006000,0.012000,0.212467,0.601074,5,0.509867,0.570313
0.5334,squat,face,0.012242,0.015898,0.823246,0.372339,0.432768,0.147526,0.082984,0.823246,0.012242,5,0.485942,0.346407,0.054264,0.826172,,rest,0,0,debug,0.006000,0.012000,0.204021,0.640137,5,0.510912,0.575262
0.5667,squat,face,0.010934,0.014409,0.851527,0.385333,0.431113,0.139419,0.078423,0.851527,0.010934,5,0.483915,0.346177,0.055753,0.914062,,rest,0,0,debug,0.006000,0.012000,0.201052,0.616211,5,0.512801,0.581498
0.6000,squat,face,0.009171,0.012837,0.860369,0.398594,0.432297,0.127689,0.071825,0.860369,0.009171,5,0.474898,0.345042,0.059437,0.757812,,rest,0,0,debug,0.006000,0.012000,0.195503,0.633789,5,0.514979,0.587525
0.6334,squat,face,0.008815,0.011631,0.842012,0.412962,0.425894,0.125182,0.070415,0.842012,0.008815,5,0.472239,0.342700,0.058178,0.866211,,rest,0,0,debug,0.006000,0.012000,0.193513,0.646973,5,0.517825,0.594868
0.6667,squat,face,0.008566,0.010711,0.845484,0.418139,0.420765,0.123402,0.069414,0.845484,0.008566,5,0.463483,0.340605,0.061200,0.793945,,rest,0,0,debug,0.006000,0.012000,0.189416,0.638672,5,0.520342,0.601163
0.7000,squat,face,0.007261,0.009676,0.881394,0.430561,0.419424,0.113616,0.063909,0.881394,0.007261,5,0.460401,0.336619,0.060700,0.828613,,rest,0,0,debug,0.006000,0.012000,0.183556,0.646973,5,0.522244,0.606001
0.7334,squat,face,0.008384,0.009288,0.796415,0.431140,0.409906,0.122084,0.068672,0.796415,0.008384,5,0.453016,0.333830,0.069416,0.779297,,rest,0,0,debug,0.006000,0.012000,0.178272,0.667969,5,0.524150,0.611809
0.7667,squat,face,0.007581,0.008776,0.850092,0.439278,0.404553,0.116091,0.065301,0.850092,0.007581,5,0.447604,0.330453,0.073362,0.889648,,rest,0,0,debug,0.006000,0.012000,0.175173,0.680176,5,0.525917,0.617633
0.8000,squat,face,0.006278,0.008027,0.860085,0.451321,0.405883,0.105641,0.059423,0.860085,0.006278,5,0.441958,0.327219,0.075102,0.829590,,rest,0,0,debug,0.006000,0.012000,0.175610,0.698242,5,0.527647,0.621890
0.8334,squat,face,0.007549,0.007883,0.900033,0.444206,0.394207,0.115848,0.065164,0.900033,0.007549,5,0.436241,0.324672,0.085511,0.840820,,rest,0,0,debug,0.006000,0.012000,0.172595,0.725586,5,0.529528,0.627305
0.8667,squat,face,0.006423,0.007445,0.853531,0.453871,0.393653,0.106861,0.060109,0.853531,0.006423,5,0.433699,0.321543,0.083705,0.815918,,rest,0,0,debug,0.006000,0.012000,0.169347,0.693359,5,0.531289,0.631525
0.9000,squat,face,0.006511,0.007165,0.826502,0.455053,0.386451,0.107592,0.060520,0.826502,0.006511,5,0.425237,0.318841,0.081684,0.785645,,rest,0,0,debug,0.006000,0.012000,0.166980,0.674805,5,0.532428,0.635242
0.9334,squat,face,0.007260,0.007194,0.850953,0.449805,0.380440,0.113608,0.063904,0.850953,0.007260,5,0.422857,0.314331,0.093737,0.835449,,rest,0,0,debug,0.006000,0.012000,0.164832,0.683594,5,0.531508,0.636436
0.9667,squat,face,0.006558,0.007003,0.817891,0.454649,0.376483,0.107977,0.060737,0.817891,0.006558,5,0.417787,0.310799,0.094469,0.819336,,rest,0,0,debug,0.006000,0.012000,0.164041,0.687988,5,0.530190,0.636974
1.0000,squat,face,0.007146,0.007046,0.869121,0.451011,0.371578,0.112714,0.063401,0.869121,0.007146,5,0.411497,0.307603,0.100276,0.838379,,rest,0,0,debug,0.006000,0.012000,0.159860,0.670410,5,0.529312,0.638807
1.0334,squat,face,0.007160,0.007080,0.833268,0.452151,0.366182,0.112822,0.063463,0.833268,0.007160,5,0.408814,0.303217,0.106440,0.852051,,rest,0,0,debug,0.006000,0.012000,0.158606,0.658203,5,0.528139,0.639051
1.0667,squat,face,0.007032,0.007066,0.792112,0.452978,0.362162,0.111808,0.062892,0.792112,0.007032,5,0.401879,0.300487,0.106506,0.778320,,rest,0,0,debug,0.006000,0.012000,0.158217,0.686523,5,0.526877,0.639361
1.1000,squat,face,0.007105,0.007077,0.870805,0.449620,0.358786,0.112386,0.063217,0.870805,0.007105,5,0.398300,0.297491,0.114317,0.861328,,rest,0,0,debug,0.006000,0.012000,0.154805,0.695312,5,0.525538,0.641144
1.1334,squat,face,0.007168,0.007105,0.876951,0.448904,0.354335,0.112888,0.063499,0.876951,0.007168,5,0.396493,0.295463,0.111249,0.827637,,rest,0,0,debug,0.006000,0.012000,0.153937,0.686523,5,0.524257,0.641806
1.1667,squat,face,0.007130,0.007112,0.854675,0.448043,0.351851,0.112588,0.063331,0.854675,0.007130,5,0.391318,0.292487,0.111886,0.782715,,rest,0,0,debug,0.006000,0.012000,0.155287,0.707520,5,0.522815,0.641265
1.2001,squat,face,0.007394,0.007197,0.837360,0.444040,0.347471,0.114654,0.064493,0.837360,0.007394,5,0.388851,0.289826,0.109769,0.783203,,rest,0,0,debug,0.006000,0.012000,0.154958,0.727539,5,0.520749,0.640754
1.2334,squat,face,0.006866,0.007098,0.903011,0.446636,0.344502,0.110481,0.062145,0.903011,0.006866,5,0.385938,0.288042,0.110519,0.825195,,rest,0,0,debug,0.006000,0.012000,0.153075,0.680176,5,0.520363,0.641684
1.2667,squat,face,0.007139,0.007110,0.872765,0.444398,0.340340,0.112659,0.063371,0.872765,0.007139,5,0.381945,0.286371,0.121616,0.854492,,rest,0,0,debug,0.006000,0.012000,0.150721,0.675781,5,0.519000,0.641812
1.3001,squat,face,0.007194,0.007135,0.841142,0.442084,0.336451,0.113089,0.063612,0.841142,0.007194,5,0.379908,0.283546,0.112607,0.875488,,rest,0,0,debug,0.006000,0.012000,0.150607,0.733398,5,0.518228,0.641693
1.3334,squat,face,0.007148,0.007139,0.863767,0.438802,0.334817,0.112726,0.063409,0.863767,0.007148,5,0.374395,0.280567,0.124456,0.859863,,rest,0,0,debug,0.006000,0.012000,0.148547,0.694824,5,0.516932,0.642512
1.3667,squat,face,0.007249,0.007172,0.877229,0.435749,0.331039,0.113520,0.063855,0.877229,0.007249,5,0.372479,0.278080,0.123921,0.897949,,rest,0,0,debug,0.006000,0.012000,0.145694,0.703125,5,0.515364,0.641607
1.4001,squat,face,0.007139,0.007162,0.868559,0.433295,0.329215,0.112654,0.063368,0.868559,0.007139,5,0.369405,0.275764,0.117029,0.892578,,rest,0,0,debug,0.006000,0.012000,0.146252,0.640625,5,0.514762,0.641479
1.4334,squat,face,0.007057,0.007130,0.818189,0.431311,0.327708,0.112008,0.063004,0.818189,0.007057,5,0.366571,0.274850,0.115788,0.855957,,rest,0,0,debug,0.006000,0.012000,0.146652,0.654785,5,0.514622,0.641947
1.4667,squat,face,0.006885,0.007057,0.774975,0.431212,0.325489,0.110632,0.062231,0.774975,0.006885,5,0.363333,0.273479,0.119298,0.813965,,rest,0,0,debug,0.006000,0.012000,0.145629,0.658203,5,0.514315,0.639954
1.5001,squat,face,0.006683,0.006945,0.793652,0.430298,0.324519,0.109003,0.061314,0.793652,0.006683,5,0.361129,0.270773,0.116154,0.818848,,rest,0,0,debug,0.006000,0.012000,0.145251,0.618652,5,0.513925,0.637317
1.5334,squat,face,0.006524,0.006819,0.819084,0.428310,0.324023,0.107696,0.060579,0.819084,0.006524,5,0.361440,0.269702,0.116443,0.776367,,rest,0,0,debug,0.006000,0.012000,0.146341,0.640137,5,0.514124,0.636539
1.5667,squat,face,0.006306,0.006665,0.830039,0.427849,0.324103,0.105882,0.059559,0.830039,0.006306,5,0.361272,0.268747,0.118165,0.823242,,rest,0,0,debug,0.006000,0.012000,0.143971,0.662109,5,0.513950,0.635310
1.6001,squat,face,0.006533,0.006625,0.853817,0.424192,0.323412,0.107765,0.060618,0.853817,0.006533,5,0.360451,0.268598,0.117787,0.854980,,rest,0,0,debug,0.006000,0.012000,0.146062,0.669434,5,0.513696,0.634176
1.6334,squat,face,0.006246,0.006511,0.869963,0.423747,0.324091,0.105375,0.059273,0.869963,0.006246,5,0.359939,0.266622,0.113633,0.894043,,rest,0,0,debug,0.006000,0.012000,0.142985,0.645508,5,0.513523,0.633170
1.6667,squat,face,0.006625,0.006546,0.895137,0.420518,0.321947,0.108527,0.061047,0.895137,0.006625,5,0.359969,0.266888,0.114558,0.896973,,rest,0,0,debug,0.006000,0.012000,0.143561,0.629395,5,0.513785,0.633394
1.7001,squat,face,0.006868,0.006642,0.884988,0.415514,0.321495,0.110496,0.062154,0.884988,0.006868,5,0.360155,0.266802,0.097923,0.886719,,rest,0,0,debug,0.006000,0.012000,0.144511,0.666504,5,0.513790,0.633371
1.7334,squat,face,0.006489,0.006596,0.892131,0.416283,0.322312,0.107403,0.060414,0.892131,0.006489,5,0.360207,0.266290,0.096461,0.875977,,rest,0,0,debug,0.006000,0.012000,0.143900,0.597168,5,0.513484,0.632739
1.7667,squat,face,0.006906,0.006689,0.887192,0.411907,0.321400,0.110806,0.062328,0.887192,0.006906,5,0.359971,0.265641,,0.876465,,rest,0,0,debug,0.006000,0.012000,0.144801,0.613770,5,0.512929,0.631606
1.8001,squat,face,0.006709,0.006695,0.846927,0.412405,0.320949,0.109211,0.061431,0.846927,0.006709,5,0.359707,0.266146,0.099175,0.857910,,rest,0,0,debug,0.006000,0.012000,0.144517,0.631836,5,0.511615,0.630016
1.8334,squat,face,0.006893,0.006754,0.812800,0.409537,0.320755,0.110695,0.062266,0.812800,0.006893,5,0.359795,0.266358,,0.813965,,rest,0,0,debug,0.006000,0.012000,0.143553,0.621094,5,0.510496,0.629232
1.8667,squat,face,0.006656,0.006725,0.830921,0.404679,0.321870,0.108777,0.061187,0.830921,0.006656,5,0.360309,0.267557,,0.797852,,rest,0,0,debug,0.006000,0.012000,0.143260,0.628418,5,0.509830,0.629903
1.9001,squat,face,0.006994,0.006805,0.837068,0.403544,0.321314,0.111503,0.062721,0.837068,0.006994,5,0.360543,0.268153,,0.847168,,rest,0,0,debug,0.006000,0.012000,0.141072,0.590332,5,0.509389,0.630359
1.9334,squat,face,0.006796,0.006803,0.857811,0.399913,0.321785,0.109916,0.061828,0.857811,0.006796,5,0.360407,0.267977,,0.874023,,rest,0,0,debug,0.006000,0.012000,0.144738,0.606934,5,0.508898,0.630004
1.9667,squat,face,0.007274,0.006944,0.866307,0.397070,0.319698,0.113719,0.063967,0.866307,0.007274,5,0.360169,0.269791,0.107146,0.886230,,rest,0,0,debug,0.006000,0.012000,0.143062,0.592285,5,0.508821,0.631268
2.0001,squat,face,0.006929,0.006940,0.846062,0.396986,0.322564,0.110987,0.062430,0.846062,0.006929,5,0.360725,0.271159,0.121035,0.875488,,rest,0,0,debug,0.006000,0.012000,0.142767,0.627930,5,0.508967,0.631471
2.0334,squat,face,0.007211,0.007021,0.842882,0.397740,0.322633,0.113220,0.063687,0.842882,0.007211,5,0.361491,0.270649,0.130570,0.842773,,rest,0,0,debug,0.006000,0.012000,0.137822,0.581055,5,0.509354,0.631492
2.0668,squat,face,0.006829,0.006963,0.853245,0.400422,0.325935,0.110183,0.061978,0.853245,0.006829,5,0.362854,0.272742,0.123205,0.817871,,rest,0,0,debug,0.006000,0.012000,0.143706,0.605957,5,0.509370,0.631851
2.1001,squat,face,0.006568,0.006845,0.843171,0.402937,0.326831,0.108055,0.060781,0.843171,0.006568,5,0.366157,0.274849,0.108142,0.827637,,rest,0,0,debug,0.006000,0.012000,0.144879,0.662598,5,0.508008,0.629922
2.1334,squat,face,0.006858,0.006849,0.806771,0.405815,0.328053,0.110420,0.062111,0.806771,0.006858,5,0.367894,0.275451,0.111583,0.778809,,rest,0,0,debug,0.006000,0.012000,0.145187,0.647949,5,0.507704,0.630468
2.1668,squat,face,0.007197,0.006953,0.848079,0.411337,0.327852,0.113116,0.063628,0.848079,0.007197,5,0.368131,0.275506,0.097026,0.843262,,rest,0,0,debug,0.006000,0.012000,0.144780,0.650391,5,0.506810,0.631950
2.2001,squat,face,0.006841,0.006920,0.892405,0.418320,0.330521,0.110281,0.062033,0.892405,0.006841,5,0.370536,0.278686,0.124624,0.886230,,rest,0,0,debug,0.006000,0.012000,0.141926,0.682617,5,0.505725,0.631765
2.2334,squat,face,0.006778,0.006877,0.886366,0.424176,0.333818,0.109772,0.061747,0.886366,0.006778,5,0.373218,0.280021,0.126147,0.832031,,rest,0,0,debug,0.006000,0.012000,0.143835,0.681641,5,0.504585,0.631688
2.2668,squat,face,0.007230,0.006983,0.807376,0.431977,0.332662,0.113372,0.063772,0.807376,0.007230,5,0.372430,0.282834,0.138125,0.890625,,rest,0,0,debug,0.006000,0.012000,0.145008,0.642578,5,0.503602,0.633187
2.3001,squat,face,0.007099,0.007018,0.834147,0.440752,0.334531,0.112340,0.063191,0.834147,0.007099,5,0.374952,0.285543,0.138086,0.833984,,rest,0,0,debug,0.006000,0.012000,0.142274,0.606934,5,0.501443,0.632507
2.3334,squat,face,0.007153,0.007058,0.819382,0.451743,0.337088,0.112769,0.063433,0.819382,0.007153,5,0.377089,0.286083,0.143731,0.789551,,rest,0,0,debug,0.006000,0.012000,0.142059,0.585449,5,0.500121,0.634608
2.3668,squat,face,0.006961,0.007029,0.842882,0.462705,0.339797,0.111242,0.062574,0.842882,0.006961,5,0.381465,0.289245,0.131392,0.895020,,rest,0,0,debug,0.006000,0.012000,0.137656,0.681152,5,0.498261,0.634999
2.4001,squat,face,0.007142,0.007063,0.868278,0.469677,0.341374,0.112678,0.063382,0.868278,0.007142,5,0.382673,0.293493,0.141612,0.894043,,rest,0,0,debug,0.006000,0.012000,0.142078,0.666504,5,0.496552,0.636053
2.4334,squat,face,0.006730,0.006963,0.865743,0.482516,0.346484,0.109382,0.061527,0.865743,0.006730,5,0.385090,0.296677,,0.906738,,rest,0,0,debug,0.006000,0.012000,0.140085,0.554199,5,0.495251,0.636293
2.4668,squat,face,0.006790,0.006911,0.840271,0.492168,0.348883,0.109872,0.061803,0.840271,0.006790,5,0.386350,0.299990,,0.830566,,rest,0,0,debug,0.006000,0.012000,0.136758,0.633789,5,0.493303,0.635260
2.5001,squat,face,0.006838,0.006889,0.769918,0.499606,0.351163,0.110257,0.062019,0.769918,0.006838,5,0.392610,0.301943,,0.858887,,rest,0,0,debug,0.006000,0.012000,0.137838,0.589844,5,0.491777,0.634755
2.5334,squat,face,0.006799,0.006862,0.852100,0.507887,0.354039,0.109940,0.061841,0.852100,0.006799,5,0.394383,0.304934,,0.851562,,rest,0,0,debug,0.006000,0.012000,0.139152,0.643066,5,0.491216,0.635477
2.5668,squat,face,0.006840,0.006856,0.896772,0.511338,0.356439,0.110273,0.062029,0.896772,0.006840,5,0.396351,0.308160,,0.862305,,rest,0,0,debug,0.006000,0.012000,0.136399,0.644531,5,0.490759,0.635350
2.6001,squat,face,0.007225,0.006966,0.905441,0.513375,0.356346,0.113334,0.063750,0.905441,0.007225,5,0.397259,0.311681,,0.891113,,rest,0,0,debug,0.006000,0.012000,0.137497,0.650879,5,0.490230,0.634440
2.6334,squat,face,0.006924,0.006954,0.869402,0.518484,0.359843,0.110943,0.062406,0.869402,0.006924,5,0.399695,0.313891,,0.834473,,rest,0,0,debug,0.006000,0.012000,0.135825,0.655762,5,0.489581,0.634295
2.6668,squat,face,0.007133,0.007007,0.820573,0.519784,0.361511,0.112609,0.063343,0.820573,0.007133,5,0.404898,0.315604,,0.864258,,rest,0,0,debug,0.006000,0.012000,0.136170,0.633301,5,0.488348,0.631552
2.7001,squat,face,0.006598,0.006885,0.830627,0.521394,0.364092,0.108304,0.060921,0.830627,0.006598,5,0.406821,0.316959,,0.893066,,rest,0,0,debug,0.006000,0.012000,0.135510,0.668457,5,0.487736,0.629887
2.7334,squat,face,0.006480,0.006763,0.845484,0.520985,0.365865,0.107327,0.060372,0.845484,0.006480,5,0.407801,0.318988,,0.901855,,rest,0,0,debug,0.006000,0.012000,0.132707,0.624023,5,0.487149,0.627820
2.7668,squat,face,0.006598,0.006714,0.861786,0.518683,0.366380,0.108308,0.060923,0.861786,0.006598,5,0.406317,0.322088,,0.886230,,rest,0,0,debug,0.006000,0.012000,0.129087,0.638672,5,0.485797,0.624899
2.8001,squat,face,0.006675,0.006702,0.877229,0.515663,0.368224,0.108932,0.061274,0.877229,0.006675,5,0.407564,0.323895,,0.889648,,rest,0,0,debug,0.006000,0.012000,0.127837,0.568359,5,0.485395,0.625269
2.8335,squat,face,0.005992,0.006489,0.879731,0.517430,0.370374,0.103208,0.058055,0.879731,0.005992,5,0.409504,0.324649,0.197075,0.819336,,rest,0,0,debug,0.006000,0.012000,0.125640,0.574707,5,0.485335,0.625194
2.8668,squat,face,0.006795,0.006581,0.885539,0.508876,0.369812,0.109911,0.061825,0.885539,0.006795,5,0.410491,0.326313,0.203370,0.847656,,rest,0,0,debug,0.006000,0.012000,0.129278,0.595703,5,0.484635,0.622505
2.9001,squat,face,0.006277,0.006490,0.813101,0.508664,0.372129,0.105633,0.059419,0.813101,0.006277,5,0.410203,0.327056,0.203010,0.893066,,rest,0,0,debug,0.006000,0.012000,0.130071,0.602539,5,0.484005,0.619267
2.9335,squat,face,0.006176,0.006395,0.814001,0.503674,0.372577,0.104783,0.058941,0.814001,0.006176,5,0.410970,0.329267,0.208514,0.880371,,rest,0,0,debug,0.006000,0.012000,0.131043,0.661133,5,0.484567,0.620194
2.9668,squat,face,0.005842,0.006230,0.843171,0.501610,0.374609,0.101915,0.057327,0.843171,0.005842,5,0.411579,0.330026,0.201902,0.856445,,rest,0,0,debug,0.006000,0.012000,0.131367,0.711914,5,0.484850,0.619472
3.0001,squat,face,0.007015,0.006465,0.863485,0.491995,0.372450,0.111673,0.062816,0.863485,0.007015,5,0.412140,0.330358,0.198692,0.792480,,rest,0,0,debug,0.006000,0.012000,0.130426,0.707520,5,0.485176,0.619590
3.0335,squat,face,0.006826,0.006573,0.851527,0.487886,0.374062,0.110159,0.061964,0.851527,0.006826,5,0.414460,0.331168,0.200868,0.788086,,rest,0,0,debug,0.006000,0.012000,0.132143,0.675293,5,0.485258,0.619265
3.0668,squat,face,0.006948,0.006686,0.851813,0.487264,0.373601,0.111143,0.062518,0.851813,0.006948,5,0.416476,0.331066,0.191081,0.854980,,rest,0,0,debug,0.006000,0.012000,0.134682,0.670410,5,0.485493,0.618531
3.1001,squat,face,0.007002,0.006781,0.814900,0.482256,0.375103,0.111569,0.062757,0.814900,0.007002,5,0.416218,0.331540,0.197173,0.856445,,rest,0,0,debug,0.006000,0.012000,0.134731,0.679688,5,0.485696,0.617930
3.1335,squat,face,0.006659,0.006744,0.758416,0.483227,0.377217,0.108807,0.061204,0.758416,0.006659,5,0.418698,0.332272,,0.874512,,rest,0,0,debug,0.006000,0.012000,0.133076,0.630371,5,0.485678,0.617221
3.1668,squat,face,0.006718,0.006736,0.787785,0.477752,0.377605,0.109283,0.061472,0.787785,0.006718,5,0.416414,0.331940,0.195960,0.836426,,rest,0,0,debug,0.006000,0.012000,0.130563,0.628418,5,0.486218,0.617516
3.2001,squat,face,0.006601,0.006696,0.825320,0.477332,0.378095,0.108330,0.060935,0.825320,0.006601,5,0.416815,0.333621,0.207752,0.833984,,rest,0,0,debug,0.006000,0.012000,0.126454,0.622070,5,0.487037,0.618979
3.2335,squat,face,0.006026,0.006495,0.843461,0.475499,0.379095,0.103503,0.058220,0.843461,0.006026,5,0.416053,0.334057,0.185061,0.828125,,rest,0,0,debug,0.006000,0.012000,0.130008,0.633789,5,0.487727,0.619879
3.2668,squat,face,0.005802,0.006287,0.857242,0.475628,0.379927,0.101559,0.057127,0.857242,0.005802,5,0.418379,0.334032,0.192585,0.826172,,rest,0,0,debug,0.006000,0.012000,0.129952,0.613770,5,0.488126,0.620046
3.3001,squat,face,0.006590,0.006378,0.858949,0.471349,0.378222,0.108239,0.060884,0.858949,0.006590,5,0.418246,0.334411,0.188600,0.790527,,rest,0,0,debug,0.006000,0.012000,0.129142,0.587891,5,0.488502,0.620538
3.3335,squat,face,0.006490,0.006412,0.867434,0.470941,0.378619,0.107415,0.060421,0.867434,0.006490,5,0.419129,0.334913,0.194293,0.813965,,rest,0,0,debug,0.006000,0.012000,0.132186,0.600586,5,0.488844,0.620257
3.3668,squat,face,0.006275,0.006370,0.871085,0.470457,0.379234,0.105617,0.059410,0.871085,0.006275,5,0.419867,0.334824,0.191981,0.844727,,rest,0,0,debug,0.006000,0.012000,0.134834,0.604980,5,0.489257,0.620330
3.4001,squat,face,0.006541,0.006422,0.856102,0.465891,0.378233,0.107835,0.060657,0.856102,0.006541,5,0.419938,0.335200,0.194762,0.860352,,rest,0,0,debug,0.006000,0.012000,0.134218,0.581543,5,0.489535,0.620646
3.4335,squat,face,0.007013,0.006599,0.844329,0.465768,0.376280,0.111658,0.062808,0.844329,0.007013,5,0.420249,0.335935,0.195270,0.863770,,rest,0,0,debug,0.006000,0.012000,0.132290,0.575684,5,0.489770,0.621024
3.4668,squat,face,0.006491,0.006567,0.833561,0.464640,0.379718,0.107426,0.060427,0.833561,0.006491,5,0.419473,0.335670,0.194944,0.867188,,rest,0,0,debug,0.006000,0.012000,0.132269,0.602539,5,0.489831,0.621065
3.5001,squat,face,0.006391,0.006514,0.822059,0.465560,0.379286,0.106594,0.059959,0.822059,0.006391,5,0.420581,0.335787,0.196314,0.894043,,rest,0,0,debug,0.006000,0.012000,0.131159,0.598633,5,0.489849,0.621052
3.5335,squat,face,0.006375,0.006472,0.822059,0.462663,0.379729,0.106461,0.059884,0.822059,0.006375,5,0.420574,0.336421,0.200681,0.885742,,rest,0,0,debug,0.006000,0.012000,0.129302,0.567383,5,0.489786,0.620765
3.5668,squat,face,0.006519,0.006486,0.815499,0.463629,0.378380,0.107652,0.060554,0.815499,0.006519,5,0.419932,0.336395,0.195040,0.882812,,rest,0,0,debug,0.006000,0.012000,0.130817,0.564941,5,0.489794,0.620517
3.6001,squat,face,0.006158,0.006388,0.816696,0.466720,0.379937,0.104634,0.058857,0.816696,0.006158,5,0.420132,0.336082,0.194733,0.893555,,rest,0,0,debug,0.006000,0.012000,0.130070,0.565918,5,0.489767,0.620163
3.6335,squat,face,0.006160,0.006320,0.810093,0.465241,0.380725,0.104648,0.058865,0.810093,0.006160,5,0.420141,0.337176,0.195680,0.893555,,rest,0,0,debug,0.006000,0.012000,0.130010,0.620117,5,0.489572,0.620142
3.6668,squat,face,0.005981,0.006218,0.813101,0.467329,0.380834,0.103115,0.058002,0.813101,0.005981,5,0.420424,0.337548,0.187621,0.888184,,rest,0,0,debug,0.006000,0.012000,0.129375,0.589355,5,0.489506,0.620003
3.7002,squat,face,0.005967,0.006143,0.825024,0.466479,0.382019,0.102995,0.057935,0.825024,0.005967,5,0.420414,0.338097,0.195692,0.871094,,rest,0,0,debug,0.006000,0.012000,0.129354,0.631836,5,0.489050,0.619142
3.7335,squat,face,0.006073,0.006122,0.840271,0.467718,0.381319,0.103902,0.058445,0.840271,0.006073,5,0.420418,0.337925,0.191181,0.864258,,rest,0,0,debug,0.006000,0.012000,0.129999,0.598145,5,0.488643,0.617723
3.7668,squat,face,0.006107,0.006117,0.844907,0.470346,0.382324,0.104194,0.058609,0.844907,0.006107,5,0.421137,0.338284,0.194974,0.854492,,rest,0,0,debug,0.006000,0.012000,0.129214,0.565918,5,0.488118,0.617528
3.8002,squat,face,0.006159,0.006130,0.853245,0.471692,0.383348,0.104636,0.058857,0.853245,0.006159,5,0.421435,0.337956,0.192594,0.835449,,rest,0,0,debug,0.006000,0.012000,0.135082,0.554688,5,0.487692,0.618029
3.8335,squat,face,0.006300,0.006181,0.856387,0.470517,0.381489,0.105828,0.059528,0.856387,0.006300,5,0.421684,0.338956,,0.822266,,rest,0,0,debug,0.006000,0.012000,0.129953,0.528320,5,0.487451,0.617832
